Word,Bengali Meaning,Synonyms,Antonyms,English Definition,Example Sentence,Unit (Lesson)
"Urbanization","নগরায়ণ","Urban expansion, city growth, municipal development","Ruralization, de-urbanization","The process of making an area more urban or migration of populations to cities.","Unit Nine: Adolescence Lesson 1 Storms and Stresses of Adolescence A.","Unit 9: Lesson 1 (Storms and Stresses of Adolescence)"
"Vary","ভিন্ন হওয়া / পরিবর্তনশীল হওয়া","Differ, fluctuate, diverge, change","Conform, match, stay same, agree","To differ in size, amount, degree, or nature from something else of the same type.","the duration and defining characteristics of this period may vary across üme, cultures, and socio-economic situations.","Unit 9: Lesson 1 (Storms and Stresses of Adolescence)"
"Revolutionise","বিপ্লবী পরিবর্তন আনা / আমূল বদলে দেওয়া","Transform, modernize, overhaul, innovate","Stagnate, preserve, deteriorate, ruin","To fundamentally change something so that it is radically different and improved.","Artificial intelligence has the potential to revolutionise the way we learn and teach.","Unit 1: Lesson 2 (Education and Technology)"
"Automate","স্বয়ংক্রিয় করা / যন্ত্রচালিত করা","Mechanize, computerize, streamline, systemize","Operate manually, manualize, handcraft","To convert a process or task to be operated largely by automatic electronic equipment.","As a tool in the classroom, AI can provide students with personalised learning experiences, automate repetitive tasks and provide instant feedback.","Unit 1: Lesson 2 (Education and Technology)"
"Limitation","সীমাবদ্ধতা / দুর্বলতা","Restriction, shortcoming, constraint, boundary, flaw","Strength, capability, freedom, infinity","A limiting rule or condition; a lack of capacity or restrictive factor.","Privacy concerns are also a limitation of AI in the classroom.","Unit 1: Lesson 2 (Education and Technology)"
"Instructors","প্রশিক্ষক / শিক্ষক / নির্দেশক","Teachers, educators, trainers, mentors, tutors","Learners, students, pupils, trainees","People who teach something or guide learning in an academic or training context.","Let us explore the pros and cons of AI as a tool in the classroom, address the concern that AI could be a threat to teachers' and instructors' jobs and discuss the role of edtech companies in advancing this AI use case.","Unit 1: Lesson 2 (Education and Technology)"
"Redundant","অপ্রয়োজনীয় / বাহুল্য / কর্মহীন","Unnecessary, surplus, expendable, superfluous","Essential, indispensable, vital, required","Not or no longer needed or useful; superfluous.","Some teachers and instructors may see AI as a threat to their jobs, believing it will automate their tasks and make them redundant.","Unit 1: Lesson 2 (Education and Technology)"
"Implementing","বাস্তবায়ন করা / প্রয়োগ করা","Executing, applying, enforcing, performing, carrying out","Abandoning, delaying, halting, neglecting","Putting a decision, plan, software, or agreement into effect.","There are also negatives to consider, one of which is the cost of developing and implementing AI-powered educational tools.","Unit 1: Lesson 2 (Education and Technology)"
"Sensitive","সংবেদনশীল / গোপনীয়","Confidential, delicate, private, secret","Insensitive, public, open, resilient","Requiring careful handling due to privacy, confidentiality, or security risks.","AI-powered educational tools may collect and store sensitive personal data, which raises concerns about privacy and security.","Unit 1: Lesson 2 (Education and Technology)"
"Responsibly","দায়িত্বশীলতার সাথে","Accountably, conscientiously, sensibly, reliably","Irresponsibly, carelessly, recklessly","In a sensible, trustworthy, and accountable manner.","Edtech companies play a crucial role in advancing the use of AI in the classroom and ensuring that it is used ethically and responsibly.","Unit 1: Lesson 2 (Education and Technology)"
"Offset","ক্ষতিপূরণ করা / সমন্বয় করা / ভারসাম্য রক্ষা করা","Balance, compensate, counteract, neutralize","Worsen, intensify, exacerbate, unbalance","To counterbalance or compensate for a cost, loss, or disadvantage.","Edtech companies should work to make AI technology accessible to a broader range of schools and teachers and explore alternative funding options, such as grants or partnerships, to help offset the costs.","Unit 1: Lesson 2 (Education and Technology)"
"Augment","বৃদ্ধি করা / সমৃদ্ধ করা / সম্পূরক হওয়া","Enhance, supplement, boost, expand, reinforce","Diminish, reduce, decrease, weaken","To make something greater by adding to it; to supplement.","Edtech companies should aim to develop AI tools that augment, rather than replace, the role of teachers and provide students with a well-rounded education that includes both personalized learning and human interaction.","Unit 1: Lesson 2 (Education and Technology)"
"Well-rounded","পরিপূর্ণ / সর্বাঙ্গীণ / ভারসাম্যপূর্ণ","Comprehensive, balanced, versatile, complete","One-sided, narrow, biased, incomplete","Having a personality or education that is fully developed and well balanced.","Edtech companies should aim to develop AI tools that augment, rather than replace, the role of teachers and provide students with a well-rounded education that includes both personalized learning and human interaction.","Unit 1: Lesson 2 (Education and Technology)"
"Innovative","উদ্ভাবনী / আধুনিক / নতুন ধারণাসম্পন্ন","Inventive, novel, groundbreaking, state-of-the-art","Traditional, outdated, conventional, old-fashioned","Featuring new, original, and advanced methods or ideas.","Edtech companies should aim to improve AI capabilities and overcome these limitations to create more advanced, innovative and effective AI tools for the classroom.","Unit 1: Lesson 2 (Education and Technology)"
"Transparent","স্বচ্ছ / স্পষ্ট / বোধগম্য","Clear, open, candid, lucid, unambiguous","Opaque, obscure, secretive, hidden","Easy to perceive, understand, or examine; open to public scrutiny.","Ethical considerations: Edtech companies should consider the ethical implications of AI technology in education and develop AI tools in a transparent, fair and responsible manner.","Unit 1: Lesson 2 (Education and Technology)"
"Governing","নিয়ন্ত্রণকারী / পরিচালনাকারী / বিধানকারী","Regulating, controlling, directing, ruling","Submitting, obeying, complying","Having the power, duty, or legal authority to conduct policy and actions.","They must also ensure that they develop and use AI tools in accordance with the laws and regulations governing data privacy, security and intellectual property.","Unit 1: Lesson 2 (Education and Technology)"
"Collaboration","সহযোগিতা / যৌথ প্রচেষ্টা / মৈত্রী","Cooperation, partnership, alliance, teamwork","Conflict, opposition, competition, rivalry","The action of working together with someone to produce or create something.","Still, edtech companies should develop AI tools with caution in collaboration with teachers, educators and students to ensure that they are helpful, ethical and effective in meeting the needs of learners.","Unit 1: Lesson 2 (Education and Technology)"
"Valuable","মূল্যবান / গুরুত্বপূর্ণ / কল্যাণকর","Precious, beneficial, worthy, priceless, helpful","Worthless, useless, trivial, disadvantageous","Extremely useful, helpful, or important.","In conclusion, AI has the potential to be a valuable addition to the classroom.","Unit 1: Lesson 2 (Education and Technology)"
"Peered","উঁকি দিয়ে বা তীক্ষ্ণ দৃষ্টিতে তাকাল","Gazed, squinted, inspected, searched, probed","Ignored, glanced away, overlooked","Looked with concentration, curiosity, or difficulty through an opening.","She squatted down and peered through the shrubbery to get a better look.","Unit 1: Lesson 3 (Children in School)"
"Shrubbery","ঝোপঝাড় / গুল্মবাগান / ঝোপের বেষ্টনী","Bushes, foliage, greenery, thicket, undergrowth","Clearing, wasteland, desert, open field","An area in a garden or park planted with shrubs and green bushes.","She squatted down and peered through the shrubbery to get a better look.","Unit 1: Lesson 3 (Children in School)"
"Sparkled","চকচক করছিল / উজ্জ্বলভাবে জ্বলছিল","Shimmered, glinted, twinkled, shone, glistened","Dimmed, faded, dulled, darkened","Shone with flashes of light; glittered brightly in the sun.","The windows of the railroad cars sparkled in the morning sunlight.","Unit 1: Lesson 3 (Children in School)"
"Semicircular","অর্ধবৃত্তাকার","Half-round, crescent, curved, arched","Linear, straight, rectangular, square","Having the shape of a half-circle.","Education and Life 15 The two ""gateposts"" were clearly trees with roots.","Unit 1: Lesson 3 (Children in School)"
"Stationmaster","স্টেশনমাস্টার / ট্রেন স্টেশনের কর্মকর্তা","Station manager, railway official, depot master","Passenger, traveler, commuter","A railway official in charge of a railway station.","Education and Life 15 The two ""gateposts"" were clearly trees with roots.","Unit 1: Lesson 3 (Children in School)"
"Shabby","জীর্ণশীর্ণ / মলিন / পরাতন ধাঁচের","Threadbare, worn-out, ragged, scruffy, faded","Smart, elegant, pristine, immaculate, luxurious","In poor condition through long use or lack of care; worn.","Education and Life 15 The two ""gateposts"" were clearly trees with roots.","Unit 1: Lesson 3 (Children in School)"
"Spiritedly","উদ্যমীভাবে / প্রাণবন্তভাবে / সতেজে","Energetically, vividly, enthusiastically, vivaciously","Lifelessly, sluggishly, apathetically, weakly","In a lively, enthusiastic, and animated manner.","Education and Life 15 The two ""gateposts"" were clearly trees with roots.","Unit 1: Lesson 3 (Children in School)"
"Embarrassed","লজ্জিত / অপ্রস্তুত / বিব্রত","Ashamed, awkward, humiliated, mortified, self-conscious","Confident, proud, composed, unabashed","Feeling awkward, self-conscious, or ashamed by a social blunder.","Education and Life 15 The two ""gateposts"" were clearly trees with roots.","Unit 1: Lesson 3 (Children in School)"
"Uneasiness","অস্বস্তি / উৎকণ্ঠা / অস্থিরতা","Anxiety, apprehension, restlessness, discomfort, perturbation","Calmness, ease, serenity, comfort, tranquility","A feeling of anxiety, restlessness, or apprehension.","Education and Life 15 The two ""gateposts"" were clearly trees with roots.","Unit 1: Lesson 3 (Children in School)"
"Straight away","অবিলম্বে / সাথে সাথে / কালবিলম্ব না করে","Immediately, instantly, promptly, forthwith, right away","Eventually, later, subsequently, sluggishly","Without delay; immediately and readily.","Education and Life 15 The two ""gateposts"" were clearly trees with roots.","Unit 1: Lesson 3 (Children in School)"
"Higgledy-piggledy","এলোমেলোভাবে / বিশৃঙ্খলভাবে / তালগোল পাকিয়ে","Chaotic, disorderly, topsy-turvy, jumbled, haphazardly","Orderly, systematic, organized, neat","In confusion or disorderly disorder; topsy-turvy.","Education and Life 15 The two ""gateposts"" were clearly trees with roots.","Unit 1: Lesson 3 (Children in School)"
"Shreds","টুকরো টুকরো / ছিন্নভিন্ন অবস্থা","Tatters, scraps, fragments, ribbons, bits","Whole, entirety, fullness, unity","Strips of some material torn off or ragged fragments.","Education and Life 15 The two ""gateposts"" were clearly trees with roots.","Unit 1: Lesson 3 (Children in School)"
"Embroidered","নকশা করা / কারুকার্যখচিত","Stitched, decorated, patterned, embellished, ornate","Plain, unadorned, undecorated, bare","Decorated with needlework patterns using colored thread.","Education and Life 15 The two ""gateposts"" were clearly trees with roots.","Unit 1: Lesson 3 (Children in School)"
"Astonished","বিস্ময়াভিভূত / অত্যন্ত তাজ্জব","Amazed, astounded, flabbergasted, stunned, bewildered","Unimpressed, indifferent, unconcerned, expected","Greatly surprised, impressed, or struck with wonder.","If she had been able to, she would have been astonished, and even more grateful to the headmaster.","Unit 1: Lesson 3 (Children in School)"
"Expelled","বহিষ্কৃত / বরখাস্ত / বিতাড়িত","Dismissed, evicted, banished, discharged, ousted","Admitted, accepted, enrolled, welcomed","Officially forced to leave a school or other organization.","Totto-chan had no idea then, of course, that she had been expelled and that people were at their wit's end to know what to do.","Unit 1: Lesson 3 (Children in School)"
"Innocence","সরলতা / নিষ্পাপতা / সারল্য","Naivety, purity, guiltlessness, harmlessness, simplicity","Guilt, culpability, malice, corruption, cunning","The state, quality, or fact of being innocent of evil, deceit, or wrongdoing.","Education and Life 15 The two ""gateposts"" were clearly trees with roots.","Unit 1: Lesson 3 (Children in School)"
"Beholder","দর্শক / যিনি প্রত্যক্ষ করেন","Observer, spectator, onlooker, viewer, watcher","Participator, actor, performer","A person who sees or observes someone or something.","Does it truly lie in the eye of the beholder?","Unit 2: Lesson 1 (What is Beauty?)"
"Inseparable","অবিচ্ছেদ্য / যাকে পৃথক করা যায় না","Indivisible, intertwined, connected, integral","Separable, divisible, detached, alienable","Unable to be separated, dissolved, or treated as distinct.","While Lord Byron (1788-1824) finds perfect beauty in a woman he idealizes, Emily Dickinson (1830-1886) asserts that beauty is inseparable from truth.","Unit 2: Lesson 1 (What is Beauty?)"
"Starry","তারকাখচিত / তারাময়","Starlit, sparkling, celestial, luminous, radiant","Dark, overcast, starless, gloomy","Full of or lit by stars.","She walks in beauty, like the night Of cloudless climes and starry skies; And all that's best of dark and bright Meet in her aspect and her eyes; Thus mellowed to that tender light Which heaven to gaudy day denies.","Unit 2: Lesson 1 (What is Beauty?)"
"Aspect","চেহারা / রূপ / অবয়ব / বাহ্যিক রূপ","Appearance, countenance, visage, look, facet","Essence, interiority","The visual appearance of someone's face or bearing.","She walks in beauty, like the night Of cloudless climes and starry skies; And all that's best of dark and bright Meet in her aspect and her eyes; Thus mellowed to that tender light Which heaven to gaudy day denies.","Unit 2: Lesson 1 (What is Beauty?)"
"Impaired","ক্ষতিগ্রস্ত করা / সৌন্দর্য হ্রাস করা","Diminished, damaged, weakened, spoiled, harmed","Enhanced, improved, perfected, restored","Weakened or damaged; lessened in beauty or perfection.","One shade the more, one ray the less, Had half impaired the nameless grace Which waves in every raven tress, Or softly lightens o'er her face; Where thoughts serenely sweet express, How pure, how dear their dwelling-place.","Unit 2: Lesson 1 (What is Beauty?)"
"Raven","কুচকুচে কালো / উজ্জ্বল কৃষ্ণবর্ণ","Jet-black, sable, ebony, inky, pitch-black","Blonde, fair, pale, bleached","Glossy black in color, like the feathers of a raven.","One shade the more, one ray the less, Had half impaired the nameless grace Which waves in every raven tress, Or softly lightens o'er her face; Where thoughts serenely sweet express, How pure, how dear their dwelling-place.","Unit 2: Lesson 1 (What is Beauty?)"
"Tress","কেশর / চুলের গোছা / বিনুনি","Lock, curl, ringlet, braid, plait","Baldness, crop","A long lock or curl of a woman's hair.","One shade the more, one ray the less, Had half impaired the nameless grace Which waves in every raven tress, Or softly lightens o'er her face; Where thoughts serenely sweet express, How pure, how dear their dwelling-place.","Unit 2: Lesson 1 (What is Beauty?)"
"Eloquent","বাকপটু / ভাবপূর্ণ / গভীর অর্থবহ","Expressive, articulate, meaningful, communicative","Inarticulate, silent, clumsy, expressionless","Clearly expressing or indicating something without words.","And on that cheek, and o'er that brow, So soft, so calm, yet eloquent, The smiles that win, the tints that glow, But tell of days in goodness spent, A mind at peace with all below, A heart whose love is innocent!","Unit 2: Lesson 1 (What is Beauty?)"
"Adjoining","সংলগ্ন / পাশাপাশি অবস্থিত / লাগোয়া","Adjacent, neighboring, contiguous, bordering","Distant, remote, separated, far-off","Next to or joined with something else.","I died for beauty, but was scarce Adjusted in the tomb, When one who died for truth was lain In an adjoining room.","Unit 2: Lesson 1 (What is Beauty?)"
"Brethren","ভ্রাতৃবৃন্দ / সহোদরগণ / সমধর্মী ব্যক্তি","Brothers, comrades, peers, fellows, kin","Strangers, adversaries, enemies","Fellow members of a group or religion; brothers in purpose.","""And I for truth — the two are one; We brethren are,"" he said.","Unit 2: Lesson 1 (What is Beauty?)"
"Sprang","উৎসারিত হয়েছিল / আবির্ভূত হয়েছিল","Originated, emerged, arose, flowed, issued","Ended, ceased, disappeared, halted","Originated or arose from a particular source.","[Unit 2: Lesson 2]: Folk music may be described as the music of the ancient times that sprang from the heart of a community, based on their natural style of expression uninfluenced by the rules of classical music or modern popular songs...
[Unit 11: Lesson 4]: But after death out of his grave There sprang twelve stalks of wheat; Which many wond'ring at, got some of those To plant and set.","Unit 2: Lesson 2 (Folk Music)"
"Rhythms","ছন্দ / লয় / সুরের প্রবাহ","Cadences, beats, tempos, pulses, measures","Disorder, irregularity, arrhythmia","A strong, regular, repeated pattern of movement or sound in music.","Folk music consists of songs and music of a community that are not influenced by any sophisticated musical rules or any standard musical styles.","Unit 2: Lesson 2 (Folk Music)"
"Emotive","আবেগঘন / আবেগসঞ্চারী / হৃদয়স্পর্শী","Poignant, touching, evocative, heartfelt, stirring","Unemotional, dull, cold, indifferent","Arousing or able to arouse intense emotional feelings.","Folk music consists of songs and music of a community that are not influenced by any sophisticated musical rules or any standard musical styles.","Unit 2: Lesson 2 (Folk Music)"
"Riverine","নদীমাতৃক / নদীতীরবর্তী / নদীসংক্রান্ত","Riparian, fluvial, river-dwelling, waterborne","Landlocked, arid, desert","Relating to, situated on, or characteristic of a river system.","In Bangladesh folk music has great variety, with songs composed on culture, festivals, views of life, natural beauty, rivers and rural and riverine life.","Unit 2: Lesson 2 (Folk Music)"
"Metaphors","রূপক / উপমা / প্রতীকী তুলনা","Symbols, allegories, figures of speech, analogies","Literal terms, plain speech","Figures of speech in which words or phrases are applied to an object not literally applicable.","Mystical songs have been composed using the metaphors of rivers and boats...","Unit 2: Lesson 2 (Folk Music)"
"Minorities","সংখ্যালঘু সম্প্রদায়","Smaller groups, cultural subsets, marginalized groups","Majorities, dominant groups","Smaller groups of people differing ethnically or culturally from the larger majority.","Folk music consists of songs and music of a community that are not influenced by any sophisticated musical rules or any standard musical styles.","Unit 2: Lesson 2 (Folk Music)"
"Chorus","সমবেত কণ্ঠ / বৃন্দগান / দলগত গীত","Choir, ensemble, vocal group, unison singing","Solo, individual recital","A large organized group of singers; singing in unison together.","(Chorus) For auld lang syne, my dear, For auld lang syne, We'll take a cup of kindness yet, For auld lang syne...","Unit 2: Lesson 2 (Folk Music)"
"Contracted","আক্রান্ত হয়েছিল / রোগে সংক্রামিত হয়েছিল","Caught, developed, acquired, succumbed to","Overcame, recovered, resisted, prevented","Caught or developed a disease or medical condition.","Folk music consists of songs and music of a community that are not influenced by any sophisticated musical rules or any standard musical styles.","Unit 2: Lesson 2 (Folk Music)"
"Asceticism","কৃচ্ছ্রসাধন / বৈরাগ্য / সন্ন্যাসধর্ম","Self-discipline, austerity, renunciation, monkhood","Hedonism, self-indulgence, materialism","Severe self-discipline and avoidance of all forms of physical indulgence.","Folk music consists of songs and music of a community that are not influenced by any sophisticated musical rules or any standard musical styles.","Unit 2: Lesson 2 (Folk Music)"
"Monastery","মঠ / আশ্রম / আখড়া","Abbey, ashram, convent, hermitage, priory","Metropolis, bustling city","A building or community occupied by religious persons living under ascetic vows.","Folk music consists of songs and music of a community that are not influenced by any sophisticated musical rules or any standard musical styles.","Unit 2: Lesson 2 (Folk Music)"
"Disciples","শিষ্যবৃন্দ / অনুসারীগণ / ভক্তবৃন্দ","Followers, pupils, acolytes, adherents, devotees","Teachers, masters, adversaries","Personal followers or students of a religious teacher or philosopher.","Folk music consists of songs and music of a community that are not influenced by any sophisticated musical rules or any standard musical styles.","Unit 2: Lesson 2 (Folk Music)"
"Sculpture","ভাস্কর্য / খোদাই করা ত্রিমাত্রিক শিল্পকর্ম","Statue, carving, effigy, model, figurine","Flat painting, 2D drawing","The art of making three-dimensional representative or abstract forms.","Art is generally understood as an expression of human imagination and creative skills in a range of activities including painting, drawing, sculpture and architecture.","Unit 2: Lesson 3 (Art)"
"Aesthetic","নান্দনিক / সৌন্দর্যবিষয়ক / রুচিসম্মত","Artistic, tasteful, beautiful, appealing, refined","Unaesthetic, crude, inelegant, ugly","Concerned with beauty or the appreciation of artistic elegance.","The aim of art is to evoke feelings and emotions that are considered aesthetic—that is, concerned with beauty—but art also can be a form of social commentary...","Unit 2: Lesson 3 (Art)"
"Glorifies","মহিমান্বিত করে / ভূয়সী প্রশংসা করে","Extols, praises, dignifies, elevates, exalts","Degrades, condemns, disparages, defames","Presents something in high admiration or as especially worthy of praise.","Art is generally understood as an expression of human imagination and creative skills in a range of activities including painting, drawing, sculpture and architecture.","Unit 2: Lesson 3 (Art)"
"Famine","দুর্ভিক্ষ","Starvation, acute shortage","Plenty, abundance","Extreme scarcity of food leading to severe starvation.","[Unit 2: Lesson 3]: Art is generally understood as an expression of human imagination and creative skills in a range of activities including painting, drawing, sculpture and architecture.
[Unit 11: Lesson 3]: I can't not see the poverty, siege and famine, especially when all Gaza city flooded into Al-Areesh and emptied it from all goods in two hours.","Unit 11: Lesson 3 (Stories From Gaza)"
"Haunting","মর্মস্পর্শী / যা মন থেকে মোছা যায় না / দাগ কাটে এমন","Evocative, memorable, indelible, piercing, poignant","Forgettable, pleasant, comforting, bland","Poignant, evocative, and difficult to ignore or forget from the mind.","Art is generally understood as an expression of human imagination and creative skills in a range of activities including painting, drawing, sculpture and architecture.","Unit 2: Lesson 3 (Art)"
"Contemporary","সমসাময়িক / আধুনিক যুগের","Current, modern, present-day, up-to-date","Ancient, archaic, antiquated, outdated","Belonging to or occurring in the present time.","Art is generally understood as an expression of human imagination and creative skills in a range of activities including painting, drawing, sculpture and architecture.","Unit 2: Lesson 3 (Art)"
"Installation","সংস্থাপন শিল্প / ইনস্টলেশন আর্ট","Art arrangement, sculptural construction, visual setup","Demolition, dismantling","An artistic genre of three-dimensional works designed to transform interior perception.","Art is generally understood as an expression of human imagination and creative skills in a range of activities including painting, drawing, sculpture and architecture.","Unit 2: Lesson 3 (Art)"
"Insightful","অন্তর্দৃষ্টিপূর্ণ / গভীর বোধসম্পন্ন / বিশ্লেষণধর্মী","Perceptive, discerning, profound, sagacious, acute","Shallow, obtuse, superficial, undiscerning","Having or showing an accurate and deep understanding of a complex issue.","Art is generally understood as an expression of human imagination and creative skills in a range of activities including painting, drawing, sculpture and architecture.","Unit 2: Lesson 3 (Art)"
"Bohemian","উদাসীন / বাউন্ডুলে / প্রথাহীন স্বাধীনচেতা","Unconventional, nonconformist, free-spirited, nomadic","Conventional, orthodox, conformist, traditional","Having informal and unconventional social habits and an artistic lifestyle.","Born on 10 August 1923, in Jessore, Bangladesh, Sultan is often remembered as a bohemian artist who traveled extensively...","Unit 2: Lesson 3 (Art)"
"Retrospective","পশ্চাৎমুখী প্রদর্শনী / শিল্পীর অতীত কাজের পূর্ণাঙ্গ প্রদর্শনী","Comprehensive exhibition, career survey, review","Prospective preview, debut showcase","An exhibition showing the development of the work of a particular artist over time.","Art is generally understood as an expression of human imagination and creative skills in a range of activities including painting, drawing, sculpture and architecture.","Unit 2: Lesson 3 (Art)"
"Stature","শারীরিক উচ্চতা ও ব্যক্তিত্ব / গৌরবময় মর্যাদা","Prestige, status, standing, height, prominence","Insignificance, lowliness, unimportance","Importance or reputation gained by ability or achievement; also physical height.","Art is generally understood as an expression of human imagination and creative skills in a range of activities including painting, drawing, sculpture and architecture.","Unit 2: Lesson 3 (Art)"
"Pioneer","পথপ্রদর্শক / অগ্রদূত / প্রথম প্রবর্তক","Trailblazer, innovator, forerunner, groundbreaker","Follower, imitator, conformist","A person who is among the first to explore or settle a new country or area of thought.","Novera Ahmed was the pioneer of modern sculpting in Bangladesh.","Unit 2: Lesson 3 (Art)"
"Aptly","যথাযথভাবে / উপযুক্তভাবে / চমৎকারভাবে","Fittingly, suitably, appropriately, correctly","Inappropriately, unfittingly, wrongly","In a manner that is suitable or appropriate in the circumstances.","Art is generally understood as an expression of human imagination and creative skills in a range of activities including painting, drawing, sculpture and architecture.","Unit 2: Lesson 3 (Art)"
"Artefacts","শিল্পকর্ম / হস্তনির্মিত ঐতিহাসিক বস্তু","Relics, antiques, handicrafts, items, artworks","Natural objects, raw materials","Objects made by a human being, typically an item of cultural or historical interest.","Art is generally understood as an expression of human imagination and creative skills in a range of activities including painting, drawing, sculpture and architecture.","Unit 2: Lesson 3 (Art)"
"Motifs","নকশার মূল ভাব / শিল্পরীতি / প্যাটার্ন","Patterns, themes, designs, figures, concepts","Disorder, plainness, randomness","Decorative designs, patterns, or dominant recurring ideas in artistic work.","Art is generally understood as an expression of human imagination and creative skills in a range of activities including painting, drawing, sculpture and architecture.","Unit 2: Lesson 3 (Art)"
"Inaugurated","উদ্বোধন করা হয়েছিল / সূচনা করা হয়েছিল","Launched, opened, instituted, unveiled, commenced","Closed, concluded, terminated, dissolved","Formally opened a facility, event, or initiated an exhibition.","Art is generally understood as an expression of human imagination and creative skills in a range of activities including painting, drawing, sculpture and architecture.","Unit 2: Lesson 3 (Art)"
"Adequately","পর্যাপ্তভাবে / যথাযথভাবে / সামঞ্জস্যপূর্ণভাবে","Sufficiently, satisfactorily, suitably, appropriately","Inadequately, insufficiently, poorly","To a satisfactory or acceptable extent; suitably.","Art is generally understood as an expression of human imagination and creative skills in a range of activities including painting, drawing, sculpture and architecture.","Unit 2: Lesson 3 (Art)"
"Artisans","কারিগর / হস্তশিল্পী","Craftsmen, craftspeople, handcrafters, masters","Unskilled laborers, mass-producers","Workers in a skilled trade, especially one that involves making things by hand.","While art is considered intuitive and visionary, craft is seen to be a practical application of certain skills for producing objects of everyday use that are often beautiful to look at, such as pottery, metal and wood work, cane and bamboo items, jewelry, musical instruments like ektara, dhol or flute and textile items...","Unit 2: Lesson 4 (Craft)"
"Terracotta","পোড়ামাটি / পোড়ামাটির ফলক বা পুতুল শিল্প","Baked clay, earthenware, ceramic, pottery","Plastic, synthetic polymer","A type of brownish-red earthenware used for pottery, tiles, and figurines.","While art is considered intuitive and visionary, craft is seen to be a practical application of certain skills for producing objects of everyday use that are often beautiful to look at, such as pottery, metal and wood work, cane and bamboo items, jewelry, musical instruments like ektara, dhol or flute and textile items...","Unit 2: Lesson 4 (Craft)"
"Tactile","স্পর্শনীয় / স্পর্শগ্রাহ্য / অনুভূতির মাধ্যমে অনুভূত","Palpable, tangible, touchable, physical","Intangible, abstract, untouchable, ethereal","Connected with the sense of touch or pleasant to feel with one's fingers.","While art is considered intuitive and visionary, craft is seen to be a practical application of certain skills for producing objects of everyday use that are often beautiful to look at, such as pottery, metal and wood work, cane and bamboo items, jewelry, musical instruments like ektara, dhol or flute and textile items...","Unit 2: Lesson 4 (Craft)"
"Signifier","প্রতীক / পরিচায়ক / সামাজিক নির্দেশক","Symbol, indicator, mark, representation, token","Distortion, falsehood","A sign's physical form (such as a sound, printed word, or image) as distinct from its meaning.","While art is considered intuitive and visionary, craft is seen to be a practical application of certain skills for producing objects of everyday use that are often beautiful to look at, such as pottery, metal and wood work, cane and bamboo items, jewelry, musical instruments like ektara, dhol or flute and textile items...","Unit 2: Lesson 4 (Craft)"
"Township","শহরাঞ্চল / প্রাচীন নগরী / জনপদ","Municipality, settlement, borough, town, district","Wilderness, uninhabited jungle","A division of a county with some corporate powers; a historic town settlement.","Some of you who live outside Sonargaon Upazila in the district of Narayanganj, may have visited the ancient township with its Folk Arts and Crafts Museum set up by the famous artist Zainul Abedin in 1975, and a number of old buildings which speak of a glorious past...","Unit 2: Lesson 4 (Craft)"
"Antiquity","প্রাচীনত্ব / সুদূর অতীতকাল / প্রত্নতাত্ত্বিক গুরুত্ব","Ancientness, archaism, age-old heritage, historical past","Modernity, novelty, recency","The ancient past, especially the period before the Middle Ages.","While art is considered intuitive and visionary, craft is seen to be a practical application of certain skills for producing objects of everyday use that are often beautiful to look at, such as pottery, metal and wood work, cane and bamboo items, jewelry, musical instruments like ektara, dhol or flute and textile items...","Unit 2: Lesson 4 (Craft)"
"Illuminate","আলোকিত করা / উদ্ভাসিত করা / স্পষ্ট করা","Enlighten, clarify, brighten, elucidate, irradiate","Darken, confuse, obscure, cloud","To light up or make much clearer and intellectually enlightened.","Education and Life 27 D.","Unit 1: Lesson 4 (Civic Engagement)"
"Volunteerism","স্বেচ্ছাসেবা / নিঃস্বার্থ পরার্থপরতা","Voluntary service, altruism, unpaid service, charity","Compulsion, coercion, conscription","The use or involvement of volunteer labor, especially in community services.","When you have finished reading, write on thc blank space on the top of each story what the story is about— civic engagement, volunteerism, or service learning.","Unit 1: Lesson 4 (Civic Engagement)"
"Hygiene","স্বাস্থ্যবিধি / পরিচ্ছন্নতা","Cleanliness, sanitation, purity, disinfection, asepsis","Filth, dirtiness, contamination, unsanitariness","Conditions or practices conducive to maintaining health and preventing disease.","Yet, ensuring drinking water, cleanliness and hygiene was a big challenge.","Unit 1: Lesson 4 (Civic Engagement)"
"Immensely","অত্যধিক মাত্রায় / অপরিমেয়ভাবে / বিপুলভাবে","Vastly, enormously, exceedingly, tremendously, hugely","Scarcely, slightly, insignificantly, barely","To a great extent; extremely or immeasurably.","Education and Life 27 D.","Unit 1: Lesson 4 (Civic Engagement)"
"Introvert","অন্তর্মুখী / চাপা স্বভাবের মানুষ","Reserved person, quiet person, introspective, loner","Extrovert, outgoing person, socializer","A shy, reticent person who enjoys solitary reflection.","Education and Life 27 D.","Unit 1: Lesson 4 (Civic Engagement)"
"Plea","আকুল আবেদন / কাতর প্রার্থনা / নিবেদন","Appeal, supplication, request, entreaty, petition","Demand, command, order, refusal","A request made in an urgent and emotional manner.","Education and Life 29 Alex's plea touched the teacher.","Unit 1: Lesson 4 (Civic Engagement)"
"Gazing","একদৃষ্টিতে তাকিয়ে থাকা / নিরীক্ষণ করা","Staring, contemplating, peering, observing intently","Glancing, overlooking, ignoring","Looking steadily and intently, especially in admiration, surprise, or thought.","Waking up in darkness, gazing at the fig-tree, I behold Dawn's swallows roosting under huge umbrella-like leaves.","Unit 3: Lesson 1 (Myths of Bengal)"
